name,stars,title,review
Prakash K,1.0 out of 5 stars,Macbook pro - heat issue,"[<Selector xpath='normalize-space(.//*[@data-hook=""review-body""])' data='I got this macbook pro 2020 base mode...'>]"
Navaneet,5.0 out of 5 stars,As Expected,"[<Selector xpath='normalize-space(.//*[@data-hook=""review-body""])' data='Well, it’s 2020 MacBook expectations ...'>]"
Himadri Shankar Sen,5.0 out of 5 stars,Macbook - Power Moves!!! Apple nails it again,"[<Selector xpath='normalize-space(.//*[@data-hook=""review-body""])' data='Hi guys,I have upgraded from Macbook ...'>]"
Amazon Customer,1.0 out of 5 stars,High Price for Low Quality,"[<Selector xpath='normalize-space(.//*[@data-hook=""review-body""])' data='The Touch Bar stopped working on day ...'>]"
JUNED,5.0 out of 5 stars,Highly Recommended!!! Stay tuned for Full Review,"[<Selector xpath='normalize-space(.//*[@data-hook=""review-body""])' data='Well it’s a super feeling to be a pro...'>]"
Kaustav Mukherjee,5.0 out of 5 stars,Best laptop at this price.Blindly buy it,"[<Selector xpath='normalize-space(.//*[@data-hook=""review-body""])' data='Apple introduced the new key board.No...'>]"
Hemanth Reddy,1.0 out of 5 stars,Product isn’t working,"[<Selector xpath='normalize-space(.//*[@data-hook=""review-body""])' data='The touch bar isn’t working.Sometimes...'>]"
Amazon Customer,5.0 out of 5 stars,nothing to say about performance,"[<Selector xpath='normalize-space(.//*[@data-hook=""review-body""])' data='heating issue when working on 2-3 ado...'>]"
Prabal,5.0 out of 5 stars,Best deal,"[<Selector xpath='normalize-space(.//*[@data-hook=""review-body""])' data=""After using 1 month I'm writing here...."">]"
Amanjot ,5.0 out of 5 stars,Worth the Investment,"[<Selector xpath='normalize-space(.//*[@data-hook=""review-body""])' data='Been using this new computer for a co...'>]"
tharun mahendra,5.0 out of 5 stars,Bought it for 99K,"[<Selector xpath='normalize-space(.//*[@data-hook=""review-body""])' data='Bought this mac book pro 2020 base mo...'>]"
Jitendra,5.0 out of 5 stars,Pro is a pro,"[<Selector xpath='normalize-space(.//*[@data-hook=""review-body""])' data='Display is up to the mark,Performance...'>]"
Prashant ,5.0 out of 5 stars,Values for money,"[<Selector xpath='normalize-space(.//*[@data-hook=""review-body""])' data='Great product.It is same 16 inch pro ...'>]"
SHIVAM KUMAR,5.0 out of 5 stars,Value for money deal!,"[<Selector xpath='normalize-space(.//*[@data-hook=""review-body""])' data='Awesome laptop!!!'>]"
Urjaswat Sinha,5.0 out of 5 stars,My review,"[<Selector xpath='normalize-space(.//*[@data-hook=""review-body""])' data='This is the best product and value fo...'>]"
Amey,5.0 out of 5 stars,Apple’s products are top notch.,"[<Selector xpath='normalize-space(.//*[@data-hook=""review-body""])' data='Great laptop and macOs is another exp...'>]"
Shivani,5.0 out of 5 stars,Very smooth,"[<Selector xpath='normalize-space(.//*[@data-hook=""review-body""])' data='It said the product was out of stock ...'>]"
Amazon Customer,5.0 out of 5 stars,Best product.,"[<Selector xpath='normalize-space(.//*[@data-hook=""review-body""])' data='It is great product but if price will...'>]"
W&M Design Studio,5.0 out of 5 stars,Highly recommended,"[<Selector xpath='normalize-space(.//*[@data-hook=""review-body""])' data='Excellent product .'>]"
Dashrath Patel,5.0 out of 5 stars,Nice one,"[<Selector xpath='normalize-space(.//*[@data-hook=""review-body""])' data='Nice one'>]"
S Narayanan,5.0 out of 5 stars,Good Product,"[<Selector xpath='normalize-space(.//*[@data-hook=""review-body""])' data='Worth for the money spent. Sleek, lig...'>]"
Harish,5.0 out of 5 stars,The name is enough.,"[<Selector xpath='normalize-space(.//*[@data-hook=""review-body""])' data='everything about it is love.'>]"
Prathmesh Swaroop,5.0 out of 5 stars,Great Product,"[<Selector xpath='normalize-space(.//*[@data-hook=""review-body""])' data='Great product, great for development ...'>]"
KALYAN SINGH,5.0 out of 5 stars,Good,"[<Selector xpath='normalize-space(.//*[@data-hook=""review-body""])' data='Hii good product'>]"
sandeep sagar,5.0 out of 5 stars,"Was little doubtful when buying but , everything is perfect after getting priduct","[<Selector xpath='normalize-space(.//*[@data-hook=""review-body""])' data='Worth money , very nice delivery n pr...'>]"
Naman Mittal,5.0 out of 5 stars,love this MacBook,"[<Selector xpath='normalize-space(.//*[@data-hook=""review-body""])' data='I received this today and I think thi...'>]"
Ramprasath,5.0 out of 5 stars,good Valuable product,"[<Selector xpath='normalize-space(.//*[@data-hook=""review-body""])' data='meet expectations'>]"
Minerva Jewellers,5.0 out of 5 stars,Fantabulous,"[<Selector xpath='normalize-space(.//*[@data-hook=""review-body""])' data='Simply Perfect'>]"
Shibi Sivadas,1.0 out of 5 stars,Please don't purchase Apple product,"[<Selector xpath='normalize-space(.//*[@data-hook=""review-body""])' data='The only reason to buy an Apple produ...'>]"
Sandeep Patil 🌟,5.0 out of 5 stars,This is the best laptop 👨🏾‍💻 Awesome 👍,"[<Selector xpath='normalize-space(.//*[@data-hook=""review-body""])' data='This is my first MacBook or should I ...'>]"
ZEESHAN,1.0 out of 5 stars,Not upto the mark don't buy it.,"[<Selector xpath='normalize-space(.//*[@data-hook=""review-body""])' data='Even after charging high priceThe lap...'>]"
 kumar ,5.0 out of 5 stars,Price Review,"[<Selector xpath='normalize-space(.//*[@data-hook=""review-body""])' data='On FK its for 132900 rs. wondering !!...'>]"
Anirudh,5.0 out of 5 stars,Superb MacBook,"[<Selector xpath='normalize-space(.//*[@data-hook=""review-body""])' data='Product is superbOriginal productOute...'>]"
siddarthan,4.0 out of 5 stars,Choose M1 mac,"[<Selector xpath='normalize-space(.//*[@data-hook=""review-body""])' data='Ever since the M1 came out, it is not...'>]"
Amazon Customer,4.0 out of 5 stars,Mackbook pro,"[<Selector xpath='normalize-space(.//*[@data-hook=""review-body""])' data='Really very well but price is high......'>]"
Omkar Shinde,1.0 out of 5 stars,Do not buy this I repeat..,"[<Selector xpath='normalize-space(.//*[@data-hook=""review-body""])' data='Actually nobody buy this laptop cause...'>]"
SMARIKA VISHWA,5.0 out of 5 stars,APPLE thats enought to know.,"[<Selector xpath='normalize-space(.//*[@data-hook=""review-body""])' data='A perfect investment for a lifetime. ...'>]"
Vibhay,5.0 out of 5 stars,Mac book pro,"[<Selector xpath='normalize-space(.//*[@data-hook=""review-body""])' data='I think good about this product so I ...'>]"
Deepak,5.0 out of 5 stars,Nice deal,"[<Selector xpath='normalize-space(.//*[@data-hook=""review-body""])' data='Overall a good deal in this festive s...'>]"
Amazon Customer,5.0 out of 5 stars,Performance,"[<Selector xpath='normalize-space(.//*[@data-hook=""review-body""])' data='Beast in the year 2021, quite smooth ...'>]"
Gaurang Grover,1.0 out of 5 stars,Read on Macbook Pro Flexgate before you buy this.,"[<Selector xpath='normalize-space(.//*[@data-hook=""review-body""])' data='I am an ardent fan of Apple products ...'>]"
shaggy,5.0 out of 5 stars,Premium hardware for a premium price,"[<Selector xpath='normalize-space(.//*[@data-hook=""review-body""])' data='MacBook Pro - A premium hardware at a...'>]"
